Source,Earthquake ID,Version,Datetime,Magnitude,Depth,Number of Stations,Region,Location
ak,ak11248078,,05/02/2014 02:09:28 AM,1.4,14.4,23,"46km ENE of Cape Yakataga, Alaska",
ak,ak11248080,,05/02/2014 02:16:15 AM,0.8,0,12,"48km ENE of Cape Yakataga, Alaska",
ak,ak11248082,,05/02/2014 02:30:13 AM,0.8,5.9,19,"82km ENE of Cantwell, Alaska",
ak,ak11248084,,05/02/2014 02:34:45 AM,1.2,124,28,"37km WSW of Healy, Alaska",
ak,ak11248087,,05/02/2014 03:09:58 AM,2.7,92.9,91,"46km W of Anchor Point, Alaska",
ak,ak11248096,,05/02/2014 03:16:17 AM,1,7.4,12,"78km ESE of Whittier, Alaska",
ak,ak11248097,,05/02/2014 03:27:52 AM,1.1,18.4,11,"64km WNW of Talkeetna, Alaska",
ak,ak11248143,,05/02/2014 03:33:34 AM,0.8,17.2,13,"24km ENE of Eielson Air Force Base, Alaska",
ak,ak11248193,,05/02/2014 05:23:25 AM,1.5,12.4,14,"70km SE of Unalaska, Alaska",
ak,ak11248195,,05/02/2014 05:42:55 AM,1.9,68.9,37,"25km NE of Nikiski, Alaska",
ak,ak11248201,,05/02/2014 05:46:21 AM,1.3,60.2,27,"9km SSW of Talkeetna, Alaska",
ak,ak11248202,,05/02/2014 05:46:14 AM,1.5,38.3,12,"69km SE of Unalaska, Alaska",
ak,ak11248203,,05/02/2014 05:40:43 AM,0.9,53.1,17,"5km N of Houston, Alaska",
ak,ak11248205,,05/02/2014 05:53:37 AM,1.8,32.3,43,"31km W of Talkeetna, Alaska",
ak,ak11248210,,05/02/2014 06:17:21 AM,0.7,7.1,11,"113km NW of Talkeetna, Alaska",
ak,ak11248259,,05/02/2014 06:44:41 AM,1.1,0,11,"42km ENE of Cape Yakataga, Alaska",
ak,ak11248261,,05/02/2014 06:53:45 AM,0.7,2.3,14,"130km NW of Talkeetna, Alaska",
ak,ak11248264,,05/02/2014 07:13:34 AM,0.7,14.1,18,"64km ENE of Healy, Alaska",
ak,ak11248266,,05/02/2014 07:15:04 AM,1.1,7.2,16,"82km E of Cape Yakataga, Alaska",
ak,ak11248334,,05/02/2014 07:48:32 AM,0.9,73.5,16,"42km NW of Talkeetna, Alaska",
ak,ak11248346,,05/02/2014 08:21:22 AM,0.2,18.3,8,"89km N of Cape Yakataga, Alaska",
ak,ak11248402,,05/02/2014 08:58:31 AM,1.1,16.9,20,"3km SE of Meadow Lakes, Alaska",
ak,ak11248405,,05/02/2014 09:08:05 AM,1.1,2.4,15,"114km NNW of Talkeetna, Alaska",
ak,ak11248406,,05/02/2014 09:08:57 AM,2.5,4.9,52,"75km NNW of Talkeetna, Alaska",
ak,ak11248432,,05/02/2014 09:35:42 AM,0.5,7.4,15,"75km ENE of Cantwell, Alaska",
ak,ak11248437,,05/02/2014 10:19:30 AM,1,11.1,18,"59km N of Valdez, Alaska",
ak,ak11248439,,05/02/2014 10:28:33 AM,2.5,75.3,72,"66km SSW of Cantwell, Alaska",
ak,ak11248449,,05/02/2014 10:37:43 AM,1.1,13.5,25,"62km N of Valdez, Alaska",
ak,ak11248450,,05/02/2014 10:48:24 AM,1.5,0,12,"80km E of Cape Yakataga, Alaska",
ak,ak11248456,,05/02/2014 10:54:56 AM,0.9,115.5,13,"36km SW of Healy, Alaska",
ak,ak11248457,,05/02/2014 11:01:56 AM,1.4,0,20,"22km NNE of Badger, Alaska",
ak,ak11248460,,05/02/2014 11:09:11 AM,1,11.7,16,"86km E of Cape Yakataga, Alaska",
ak,ak11248463,,05/02/2014 11:34:48 AM,0.4,17,11,"10km NW of Ester, Alaska",
ak,ak11248465,,05/02/2014 11:35:41 AM,1,37.5,24,"10km N of Houston, Alaska",
ak,ak11248467,,05/02/2014 11:45:33 AM,0.8,0,9,"56km W of Valdez, Alaska",
ak,ak11248470,,05/03/2014 12:08:13 PM,1.4,26.2,,"43km W of Willow, Alaska",
ak,ak11248482,,05/03/2014 01:24:03 AM,0.4,10.5,,"125km W of Cantwell, Alaska",
ak,ak11248485,,05/03/2014 01:29:05 AM,1.5,31.7,,"16km W of Willow, Alaska",
ak,ak11248490,,05/03/2014 01:56:26 AM,1.2,11.7,,"32km WNW of Valdez, Alaska",
ak,ak11248492,,05/03/2014 01:58:23 AM,0.2,11,,"57km NNW of Cape Yakataga, Alaska",
ak,ak11248494,,05/03/2014 01:59:05 AM,1.5,1.6,,"65km ENE of Cape Yakataga, Alaska",
ak,ak11248500,,05/03/2014 02:04:40 AM,1.1,39.4,,"17km SW of Anchorage, Alaska",
ak,ak11248502,,05/03/2014 02:07:07 AM,1.6,0.1,,"57km W of Valdez, Alaska",
ak,ak11248508,,05/03/2014 02:14:29 AM,0.9,17.1,,"94km W of Cantwell, Alaska",
ak,ak11248511,,05/03/2014 02:23:17 AM,1.1,34.7,,"42km ENE of Y, Alaska",
ak,ak11248514,,05/03/2014 02:36:35 AM,0.9,35.9,,"55km N of Sutton-Alpine, Alaska",
ak,ak11248516,,05/03/2014 02:37:44 AM,1.4,0.7,,"71km ENE of Cape Yakataga, Alaska",
ak,ak11248518,,05/03/2014 02:59:54 AM,1.7,0.1,,"69km E of Cape Yakataga, Alaska",
ak,ak11248520,,05/03/2014 03:27:23 AM,1.1,89.2,,"36km SSW of Cantwell, Alaska",
ak,ak11248523,,05/03/2014 03:41:27 AM,1.2,63.4,,"26km NNW of Nikiski, Alaska",
ak,ak11248525,,05/03/2014 03:50:14 AM,2,48.1,,"12km ESE of Cohoe, Alaska",
ak,ak11248531,,05/03/2014 03:53:44 AM,1.3,0.1,,"68km W of Valdez, Alaska",
ak,ak11248532,,05/03/2014 03:55:02 AM,2,30.3,,"5km W of Knik-Fairview, Alaska",
ak,ak11248536,,05/03/2014 04:06:16 AM,1.4,0.4,,"59km E of Cape Yakataga, Alaska",
ak,ak11248540,,05/03/2014 04:08:39 AM,1.3,3.5,,"119km NNW of Talkeetna, Alaska",
ak,ak11248548,,05/03/2014 04:28:14 AM,1.3,13.1,,"51km ENE of Cape Yakataga, Alaska",
ak,ak11248554,,05/03/2014 04:47:48 AM,1,15,,"18km ENE of Sutton-Alpine, Alaska",
ak,ak11248569,,05/03/2014 05:11:28 AM,1.1,20.7,,"74km NNE of Sutton-Alpine, Alaska",
ak,ak11248575,,05/03/2014 06:03:36 AM,1,4.7,,"95km SSW of Manley Hot Springs, Alaska",
ak,ak11248577,,05/03/2014 06:08:23 AM,1.5,0,,"79km ENE of Cape Yakataga, Alaska",
ak,ak11248581,,05/03/2014 06:24:40 AM,1.2,0,,"106km NW of Talkeetna, Alaska",
ak,ak11248584,,05/03/2014 06:31:23 AM,1.4,0,,"31km NNE of Whittier, Alaska",
ak,ak11248586,,05/03/2014 06:33:11 AM,2.3,99.1,,"70km SSW of Redoubt Volcano, Alaska",
ak,ak11248588,,05/03/2014 06:38:46 AM,1.6,0,,"51km NE of Whittier, Alaska",
ak,ak11248593,,05/03/2014 06:48:21 AM,1.2,29.7,,"11km ESE of Butte, Alaska",
ak,ak11248597,,05/03/2014 06:56:51 AM,1.4,19,,"22km ESE of Seward, Alaska",
ak,ak11248599,,05/03/2014 06:57:57 AM,0,13.4,,"50km S of Cantwell, Alaska",
ak,ak11248609,,05/03/2014 07:25:40 AM,1,18.5,,"33km NNE of North Nenana, Alaska",
ak,ak11248614,,05/03/2014 07:34:33 AM,1.9,0.1,,"96km SE of New Allakaket, Alaska",
ak,ak11248618,,05/03/2014 07:37:03 AM,0.4,52.8,,"16km NW of Fritz Creek, Alaska",
ak,ak11248621,,05/03/2014 08:45:04 AM,1.1,12.1,,"49km WNW of Valdez, Alaska",
ak,ak11248623,,05/03/2014 08:57:12 AM,5.5,0.9,,"33km NE of Noatak, Alaska",
ak,ak11248643,,05/03/2014 09:10:44 AM,2.3,69.4,,"65km NNE of Talkeetna, Alaska",
ak,ak11248663,,05/03/2014 09:17:20 AM,1.8,11.4,,"113km NW of Talkeetna, Alaska",
ak,ak11248668,,05/03/2014 09:21:34 AM,3.3,10,,"31km ENE of Noatak, Alaska",
ak,ak11248692,,05/03/2014 09:37:53 AM,1.3,81.1,,"59km NW of Talkeetna, Alaska",
ak,ak11248693,,05/03/2014 09:47:48 AM,4.2,10,,"19km NE of Noatak, Alaska",
ak,ak11248697,,05/03/2014 09:51:07 AM,4.7,20.6,,"43km NE of Noatak, Alaska",
ak,ak11248710,,05/03/2014 09:57:08 AM,4.7,10,,"21km NE of Noatak, Alaska",
ak,ak11248731,,05/03/2014 10:09:45 AM,4.3,10,,"26km ENE of Noatak, Alaska",
ak,ak11248739,,05/03/2014 10:11:24 AM,4.4,25,,"17km NE of Noatak, Alaska",
ak,ak11248756,,05/03/2014 10:16:35 AM,2.3,12.5,,"120km W of Cantwell, Alaska",
ak,ak11248762,,05/03/2014 10:15:31 AM,3.6,10,,"27km ENE of Noatak, Alaska",
ak,ak11248763,,05/03/2014 10:19:53 AM,2.1,61.4,,"58km WNW of Willow, Alaska",
ak,ak11248776,,05/03/2014 10:40:53 AM,4.1,10,,"25km ENE of Noatak, Alaska",
ak,ak11248828,,05/03/2014 11:14:48 AM,1.5,10.1,,"103km ENE of Cape Yakataga, Alaska",
ak,ak11248835,,05/03/2014 11:19:09 AM,4.3,9.1,,"34km ENE of Noatak, Alaska",
ak,ak11248847,,05/03/2014 11:21:27 AM,2.1,8.8,,"155km ENE of Chitina, Alaska",
ak,ak11248852,,05/03/2014 11:29:14 AM,2.4,3.5,,"33km E of Noatak, Alaska",
ak,ak11248854,,05/03/2014 11:32:36 AM,1.4,64.6,,"27km SE of Cohoe, Alaska",
ak,ak11248857,,05/03/2014 11:33:56 AM,1.3,2.9,,"33km NNE of Whittier, Alaska",
ak,ak11248859,,05/03/2014 11:34:09 AM,2.6,24.3,,"26km NE of Noatak, Alaska",
ak,ak11248864,,05/03/2014 11:40:55 AM,1.5,3.1,,"51km W of Valdez, Alaska",
ak,ak11248867,,05/03/2014 11:43:21 AM,1.4,0.2,,"21km E of Sutton-Alpine, Alaska",
ak,ak11248871,,05/03/2014 11:45:33 AM,1,15.3,,"17km ENE of Sutton-Alpine, Alaska",
ak,ak11248890,,05/03/2014 11:53:13 AM,1.8,34.7,,"69km NNW of Larsen Bay, Alaska",
ak,ak11248906,,05/03/2014 12:06:30 PM,3.2,14.8,,"17km NE of Noatak, Alaska",
ak,ak11248914,,05/03/2014 12:08:10 PM,1.2,0,,"71km ENE of Cape Yakataga, Alaska",
ak,ak11248936,,05/03/2014 12:29:11 PM,4,10,,"22km NE of Noatak, Alaska",
ak,ak11248941,,05/03/2014 12:40:03 PM,1.4,1,,"82km NW of Nikiski, Alaska",
ak,ak11248967,,05/03/2014 12:50:24 PM,1.6,0,,"35km W of Valdez, Alaska",
ak,ak11248973,,05/03/2014 12:56:49 PM,2,92.9,,"43km WNW of Anchor Point, Alaska",
ak,ak11248982,,05/03/2014 01:04:21 AM,1.3,21.9,,"60km NNW of Cape Yakataga, Alaska",
ak,ak11248987,,05/03/2014 01:30:35 AM,1.3,7.3,,"19km NW of Valdez, Alaska",
ak,ak11249045,,05/03/2014 02:11:50 AM,1.7,16.4,,"55km W of Valdez, Alaska",
ak,ak11249049,,05/03/2014 02:14:36 AM,1.9,82.5,,"74km WNW of Gustavus, Alaska",
ak,ak11249052,,05/03/2014 02:32:09 AM,1.7,100,,"17km W of Healy, Alaska",
ak,ak11249057,,05/03/2014 02:26:59 AM,1,17.4,,"53km W of Valdez, Alaska",
ak,ak11249059,,05/03/2014 02:44:35 AM,1.4,26.5,,"68km W of Valdez, Alaska",
ak,ak11249123,,05/03/2014 03:11:17 AM,1.3,0,,"40km W of Valdez, Alaska",
ak,ak11249126,,05/03/2014 03:23:04 AM,0,11.1,,"12km SSE of Fritz Creek, Alaska",
ak,ak11249127,,05/03/2014 03:27:09 AM,1.6,0.1,,"40km W of Valdez, Alaska",
ak,ak11249130,,05/03/2014 03:39:17 AM,3,13.8,,"14km NE of Noatak, Alaska",
ak,ak11249131,,05/03/2014 03:40:02 AM,1.3,2.4,,"35km W of Valdez, Alaska",
ak,ak11249134,,05/03/2014 03:43:13 AM,1.4,10.1,,"17km ENE of Sutton-Alpine, Alaska",
ak,ak11249137,,05/03/2014 03:45:48 AM,1.1,16,,"16km ENE of Sutton-Alpine, Alaska",
ak,ak11249144,,05/03/2014 04:06:31 AM,1.5,0,,"109km NW of Talkeetna, Alaska",
ak,ak11249201,,05/03/2014 04:15:49 AM,1.4,3.6,,"18km W of Valdez, Alaska",
ak,ak11249202,,05/03/2014 04:18:00 AM,1.2,3.8,,"52km NE of Whittier, Alaska",
ak,ak11249204,,05/03/2014 04:27:06 AM,1.4,39.4,,"60km SW of Glennallen, Alaska",
ak,ak11249210,,05/03/2014 04:34:16 AM,0.9,17.6,,"53km ESE of Sutton-Alpine, Alaska",
ak,ak11249211,,05/03/2014 04:37:08 AM,1.2,19.9,,"64km W of Valdez, Alaska",
ak,ak11249214,,05/03/2014 04:44:55 AM,2.6,96.8,,"65km W of Anchor Point, Alaska",
ak,ak11249223,,05/03/2014 04:57:47 AM,1.1,27.1,,"39km NNW of Anchor Point, Alaska",
ak,ak11249224,,05/03/2014 05:11:44 AM,2,99.9,,"60km NW of Nikiski, Alaska",
ak,ak11249227,,05/03/2014 05:13:02 AM,2.1,11.3,,"4km NE of Badger, Alaska",
ak,ak11249234,,05/03/2014 05:15:27 AM,3.6,10,,"5km E of Noatak, Alaska",
ak,ak11249238,,05/03/2014 05:25:04 AM,0.6,14.2,,"6km ENE of Badger, Alaska",
ak,ak11249241,,05/03/2014 05:31:19 AM,3.2,19.4,,"22km NE of Noatak, Alaska",
ak,ak11249243,,05/03/2014 05:41:57 AM,0.6,5.9,,"75km WNW of Cantwell, Alaska",
ak,ak11249245,,05/03/2014 05:43:24 AM,1.1,38.9,,"20km N of Sutton-Alpine, Alaska",
ak,ak11249314,,05/03/2014 06:16:19 AM,1.4,36,,"73km NE of Whittier, Alaska",
ak,ak11249315,,05/03/2014 06:18:43 AM,1.2,63.1,,"56km N of Nikiski, Alaska",
ak,ak11249324,,05/03/2014 06:48:07 AM,3.5,6.9,,"26km ENE of Noatak, Alaska",
ak,ak11249330,,05/03/2014 06:50:50 AM,1.1,0.5,,"32km NE of North Nenana, Alaska",
ak,ak11249333,,05/03/2014 06:57:59 AM,1.3,68.3,,"47km NE of Whittier, Alaska",
ak,ak11249409,,05/03/2014 07:33:11 AM,1.6,100,,"67km W of Cantwell, Alaska",
ak,ak11249422,,05/03/2014 08:00:37 AM,1.3,17.7,,"15km ESE of Glennallen, Alaska",
ak,ak11249491,,05/03/2014 08:12:52 AM,1.1,2.8,,"47km ENE of Cape Yakataga, Alaska",
ak,ak11249493,,05/03/2014 08:23:08 AM,2,35.5,,"33km SSE of Cohoe, Alaska",
ak,ak11249496,,05/03/2014 08:25:24 AM,1.2,0,,"187km NNE of Cape Yakataga, Alaska",
ak,ak11249498,,05/03/2014 08:27:03 AM,1.4,10.5,,"69km NW of Valdez, Alaska",
ak,ak11249510,,05/03/2014 08:38:52 AM,1.6,0.4,,"57km ENE of Cape Yakataga, Alaska",
ak,ak11249515,,05/03/2014 08:47:32 AM,0.4,15.9,,"70km ENE of Talkeetna, Alaska",
ak,ak11249520,,05/03/2014 09:00:23 AM,1.3,13.1,,"44km NE of Whittier, Alaska",
ak,ak11249605,,05/03/2014 10:04:18 AM,1,0,,"41km NE of Whittier, Alaska",
ak,ak11249609,,05/03/2014 10:18:15 AM,1.1,4.2,,"59km W of Valdez, Alaska",
ak,ak11249611,,05/03/2014 10:21:35 AM,1.2,16.6,,"68km ESE of Whittier, Alaska",
ak,ak11249616,,05/03/2014 10:26:00 AM,1.2,0.1,,"62km W of Valdez, Alaska",
ak,ak11249618,,05/03/2014 10:27:41 AM,1,19.7,,"40km SW of North Nenana, Alaska",
ak,ak11249710,,05/03/2014 10:54:22 AM,1.2,0,,"39km NE of Whittier, Alaska",
ak,ak11249716,,05/03/2014 11:35:43 AM,1,13.4,,"78km N of Talkeetna, Alaska",
ak,ak11249718,,05/03/2014 11:35:53 AM,3.1,9.3,,"28km NE of Noatak, Alaska",
ak,ak11249719,,05/03/2014 11:37:18 AM,1.6,71.1,,"37km NE of Nikiski, Alaska",
ak,ak11249736,,05/04/2014 12:28:22 PM,1.1,0,13,"106km NNW of Yakutat, Alaska",
ak,ak11249738,,05/04/2014 12:37:07 PM,1.9,78.1,,"79km N of Nikiski, Alaska",
ak,ak11249741,,05/04/2014 12:37:27 PM,1.1,0,,"43km ENE of Cape Yakataga, Alaska",
ak,ak11249744,,05/04/2014 12:40:59 PM,1.4,70.2,,"35km NNW of Nikiski, Alaska",
ak,ak11249749,,05/04/2014 12:44:41 PM,0.9,0,8,"64km ENE of Cape Yakataga, Alaska",
ak,ak11249751,,05/04/2014 12:48:18 PM,0,3.7,11,"13km NNW of Ester, Alaska",
ak,ak11249752,,05/04/2014 12:58:27 PM,1,10.2,,"55km W of Valdez, Alaska",
ak,ak11249754,,05/04/2014 01:05:25 AM,1.9,16.2,16,"102km SE of Akutan, Alaska",
ak,ak11249756,,05/04/2014 01:14:51 AM,1,6.7,,"97km W of Cantwell, Alaska",
ak,ak11249759,,05/04/2014 01:25:38 AM,0.2,13.8,,"15km SSW of Badger, Alaska",
ak,ak11249760,,05/03/2014 03:49:00 AM,0,10.9,,"39km SSW of Cantwell, Alaska",
ak,ak11249762,,05/04/2014 02:06:15 AM,2.8,88,22,"86km E of Akutan, Alaska",
ak,ak11249769,,05/04/2014 02:44:03 AM,2.3,120.6,,"88km WSW of Anchor Point, Alaska",
ak,ak11249777,,05/04/2014 03:11:37 AM,1.5,114.2,,"57km W of Cantwell, Alaska",
ak,ak11249781,,05/04/2014 03:35:43 AM,0.8,91,,"78km WSW of Cantwell, Alaska",
ak,ak11249782,,05/04/2014 03:37:11 AM,1.3,120.4,,"55km WNW of Cantwell, Alaska",
ak,ak11249791,,05/04/2014 04:08:55 AM,1.8,42.6,,"63km N of Sutton-Alpine, Alaska",
ak,ak11249797,,05/04/2014 04:19:10 AM,1.6,0,7,"100km W of Skagway, Alaska",
ak,ak11249799,,05/04/2014 04:47:36 AM,1.1,5.4,,"193km WNW of Haines Junction, Canada",
ak,ak11249812,,05/04/2014 05:26:53 AM,0.2,11.8,,"103km W of Cantwell, Alaska",
ak,ak11249813,,05/04/2014 05:33:41 AM,2.4,180.7,,"51km SW of Redoubt Volcano, Alaska",
ak,ak11249816,,05/04/2014 05:32:39 AM,0.8,16.6,20,"61km NE of Talkeetna, Alaska",
ak,ak11249825,,05/04/2014 05:40:59 AM,1.3,0,,"50km E of Cape Yakataga, Alaska",
ak,ak11249830,,05/04/2014 05:46:27 AM,1,0,8,"50km NE of Whittier, Alaska",
ak,ak11249839,,05/04/2014 06:24:29 AM,0.3,16.7,,"37km S of Cantwell, Alaska",
ak,ak11249841,,05/04/2014 06:28:30 AM,0.6,20.5,,"72km WSW of Cantwell, Alaska",
ak,ak11249855,,05/04/2014 07:00:16 AM,1.2,23.3,,"27km WNW of North Nenana, Alaska",
ak,ak11249857,,05/04/2014 07:15:52 AM,1.4,0,10,"51km NNE of Yakutat, Alaska",
ak,ak11249860,,05/04/2014 05:32:08 AM,2.1,68.4,,"29km S of Unalaska, Alaska",
ak,ak11249865,,05/04/2014 05:50:24 AM,0.9,98.9,,"50km WSW of Cantwell, Alaska",
ak,ak11249866,,05/04/2014 08:12:30 AM,0.7,8,,"104km W of Cantwell, Alaska",
ak,ak11249867,,05/04/2014 08:15:58 AM,1.3,0,,"24km NNE of Whittier, Alaska",
ak,ak11249870,,05/04/2014 08:23:28 AM,0.5,36,8,"44km E of Sutton-Alpine, Alaska",
ak,ak11249871,,05/04/2014 08:30:51 AM,2.5,33.6,,"70km SSW of Kobuk, Alaska",
ak,ak11249873,,05/04/2014 08:36:22 AM,0.9,56.7,18,"37km SW of Talkeetna, Alaska",
ak,ak11249874,,05/04/2014 08:46:42 AM,1.2,81.8,,"63km N of Talkeetna, Alaska",
ak,ak11249876,,05/04/2014 08:53:26 AM,1,79.9,,"54km W of Talkeetna, Alaska",
ak,ak11249881,,05/04/2014 09:10:36 AM,3.1,8.8,37,"31km ENE of Noatak, Alaska",
ak,ak11249901,,05/04/2014 09:21:16 AM,0.1,12.7,11,"63km SE of Cantwell, Alaska",
ak,ak11249948,,05/04/2014 09:44:53 AM,1.9,122.7,,"16km W of Healy, Alaska",
ak,ak11249987,,05/04/2014 10:18:53 AM,1.3,23.4,,"28km WNW of North Nenana, Alaska",
ak,ak11250009,,05/04/2014 10:25:54 AM,2.8,27.7,,"238km SSE of False Pass, Alaska",
ak,ak11250010,,05/04/2014 10:45:04 AM,1.7,106.4,24,"57km S of Redoubt Volcano, Alaska",
ak,ak11250017,,05/04/2014 10:53:56 AM,1,15.4,,"2km S of Glennallen, Alaska",
ak,ak11250018,,05/04/2014 11:16:05 AM,1,0,,"34km W of Valdez, Alaska",
ak,ak11250042,,05/04/2014 11:30:11 AM,1,7.4,,"56km SSW of Manley Hot Springs, Alaska",
ak,ak11250044,,05/04/2014 11:35:34 AM,1.8,100.7,,"44km NE of Redoubt Volcano, Alaska",
ak,ak11250047,,05/04/2014 11:35:59 AM,0.3,15.4,8,"55km NE of Healy, Alaska",
ak,ak11250048,,05/04/2014 11:38:57 AM,0.7,3.2,14,"172km E of Chitina, Alaska",
ak,ak11250057,,05/04/2014 11:49:46 AM,1.4,0,,"61km W of Valdez, Alaska",
ak,ak11250062,,05/04/2014 12:02:48 PM,0.7,4.4,,"82km E of Cantwell, Alaska",
ak,ak11250064,,05/04/2014 12:05:03 PM,0.5,15.8,16,"81km E of Cantwell, Alaska",
ak,ak11250091,,05/04/2014 12:39:43 PM,0.5,17,18,"76km E of Cantwell, Alaska",
ak,ak11250104,,05/04/2014 12:50:26 PM,1.7,102.9,,"52km WNW of Anchor Point, Alaska",
ak,ak11250116,,05/04/2014 01:02:04 AM,1.6,80.8,,"84km NNW of Nikiski, Alaska",
ak,ak11250125,,05/04/2014 01:21:29 AM,1.1,0,,"70km W of Valdez, Alaska",
ak,ak11250126,,05/04/2014 01:23:03 AM,0.8,9.8,,"56km SSE of Deltana, Alaska",
ak,ak11250128,,05/04/2014 01:50:02 AM,0.6,4.2,,"61km E of Cantwell, Alaska",
ak,ak11250131,,05/04/2014 01:58:26 AM,1.6,5,,"60km S of Deltana, Alaska",
ak,ak11250136,,05/04/2014 02:30:54 AM,2.6,19.1,,"25km ENE of Noatak, Alaska",
ak,ak11250138,,05/04/2014 02:44:16 AM,1.3,129,,"90km W of Cantwell, Alaska",
ak,ak11250183,,05/04/2014 03:12:54 AM,0.8,0,,"62km NE of Cape Yakataga, Alaska",
ak,ak11250186,,05/04/2014 03:24:48 AM,1.1,0,,"58km WSW of Valdez, Alaska",
ak,ak11250190,,05/04/2014 03:39:50 AM,1.3,55.2,,"15km NE of Y, Alaska",
ak,ak11250239,,05/04/2014 04:22:16 AM,2.3,107.8,11,"32km N of Nikolski, Alaska",
ak,ak11250240,,05/04/2014 04:41:59 AM,1.6,7.5,,"82km SW of Delta Junction, Alaska",
ak,ak11250244,,05/04/2014 04:55:30 AM,1.1,75.2,,"65km SSW of Cantwell, Alaska",
ak,ak11250294,,05/04/2014 05:00:21 AM,0.9,63.1,,"73km E of Cantwell, Alaska",
ak,ak11250295,,05/04/2014 05:06:46 AM,1,71.7,,"48km N of Talkeetna, Alaska",
ak,ak11250299,,05/04/2014 05:48:04 AM,1.3,0,,"63km W of Valdez, Alaska",
ak,ak11250306,,05/04/2014 06:16:18 AM,1.3,78.8,10,"32km WNW of Anchor Point, Alaska",
ak,ak11250307,,05/04/2014 06:19:25 AM,0.9,38.5,,"68km NE of Sutton-Alpine, Alaska",
ak,ak11250309,,05/04/2014 06:24:20 AM,1.3,14.6,,"67km SW of Valdez, Alaska",
ak,ak11250311,,05/04/2014 06:29:47 AM,0.5,12.1,,"74km NE of Y, Alaska",
ak,ak11250313,,05/04/2014 06:32:03 AM,0.9,0,,"45km W of Valdez, Alaska",
ak,ak11250315,,05/04/2014 06:52:25 AM,0.7,17.4,,"110km W of Cantwell, Alaska",
ak,ak11250316,,05/04/2014 06:57:15 AM,1.2,105.2,,"77km NNW of Talkeetna, Alaska",
ak,ak11250319,,05/04/2014 07:04:30 AM,0.4,10,,"71km NE of Y, Alaska",
ak,ak11250375,,05/04/2014 07:21:18 AM,1.3,0,,"52km ESE of Cape Yakataga, Alaska",
ak,ak11250377,,05/04/2014 07:29:49 AM,2.6,15.3,14,"26km ENE of Noatak, Alaska",
ak,ak11250378,,05/04/2014 07:44:13 AM,0.1,1,7,"20km WSW of Salcha, Alaska",
ak,ak11250381,,05/04/2014 07:52:07 AM,1.3,0.8,,"46km ESE of Cape Yakataga, Alaska",
ak,ak11250382,,05/04/2014 07:53:20 AM,0,14.4,,"73km NE of Y, Alaska",
ak,ak11250388,,05/04/2014 08:17:44 AM,3.6,13.3,,"19km NE of Noatak, Alaska",
ak,ak11250461,,05/04/2014 08:26:58 AM,3.2,47.8,,"201km S of Amukta Island, Alaska",
ak,ak11250489,,05/04/2014 08:40:35 AM,2.5,67.3,,"65km SW of Anchor Point, Alaska",
ak,ak11250500,,05/04/2014 08:44:29 AM,2.1,51.3,12,"76km S of Larsen Bay, Alaska",
ak,ak11250517,,05/04/2014 09:07:08 AM,1.7,89.7,,"73km WSW of Talkeetna, Alaska",
ak,ak11250600,,05/04/2014 09:39:36 AM,1.3,0,,"34km W of Valdez, Alaska",
ak,ak11250611,,05/04/2014 09:51:10 AM,1.9,4.5,,"116km W of Cantwell, Alaska",
ak,ak11250621,,05/04/2014 10:00:59 AM,1.4,1.2,,"85km E of Cantwell, Alaska",
ak,ak11250638,,05/04/2014 10:10:55 AM,1.4,0,11,"40km N of Yakutat, Alaska",
ak,ak11250644,,05/04/2014 10:24:08 AM,1.7,100.9,,"26km ESE of Redoubt Volcano, Alaska",
ak,ak11250647,,05/04/2014 10:27:20 AM,1.3,0,8,"52km NNE of Yakutat, Alaska",
ak,ak11250711,,05/04/2014 10:29:03 AM,2,105.4,,"44km S of Redoubt Volcano, Alaska",
ak,ak11250723,,05/04/2014 10:32:51 AM,1.1,0,,"69km ESE of Butte, Alaska",
ak,ak11250724,,05/04/2014 10:45:59 AM,1.1,0,,"36km W of Valdez, Alaska",
ak,ak11250731,,05/04/2014 10:56:15 AM,1.2,87.1,,"54km W of Talkeetna, Alaska",
ak,ak11250740,,05/04/2014 11:05:03 AM,1,19.2,,"55km S of Deltana, Alaska",
ak,ak11250759,,05/04/2014 11:20:07 AM,1.4,69.2,,"6km SSE of Cohoe, Alaska",
ak,ak11250760,,05/04/2014 11:23:40 AM,1,4.7,,"63km SE of Whittier, Alaska",
ak,ak11250837,,05/04/2014 11:45:23 AM,1.2,12.3,,"10km SSW of Talkeetna, Alaska",
ak,ak11250847,,05/04/2014 11:52:00 AM,0.4,72.9,,"6km SE of Fritz Creek, Alaska",
ak,ak11250848,,05/04/2014 11:55:07 AM,1.2,68.5,27,"46km W of Willow, Alaska",
ak,ak11250864,,05/05/2014 12:31:58 PM,1.6,101.5,,"24km S of Redoubt Volcano, Alaska",
ak,ak11250866,,05/05/2014 12:38:57 PM,1.2,0,,"50km E of Cape Yakataga, Alaska",
ak,ak11250871,,05/05/2014 12:50:34 PM,0.6,13.3,,"112km W of Cantwell, Alaska",
ak,ak11250873,,05/05/2014 12:53:59 PM,1.5,2.1,,"77km WSW of Delta Junction, Alaska",
ak,ak11250888,,05/05/2014 01:13:33 AM,3.4,28.4,,"29km NE of Noatak, Alaska",
ak,ak11250892,,05/05/2014 01:15:11 AM,2.7,120,,"69km W of Anchor Point, Alaska",
